
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価

171人目への推薦結果
1位,ラストサムライ,0.571429,5
2位,リング0 バースデイ,0.368254,3
3位,マトリックス・レボリューションズ,0.152381,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.147619,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.147619,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

172人目への推薦結果
1位,アイ.ロボット,0.539683,4
2位,オペラ座の怪人,0.482540,3
3位,水戸黄門 天下の副将軍,0.273545,4
4位,砂の器,0.145503,4
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.139683,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

173人目への推薦結果
1位,オペラ座の怪人,0.599556,3
2位,スター・ウォーズ,0.261778,4
3位,天空の城ラピュタ,0.261778,3
4位,アポロ13,0.200000,5
5位,走れメロス,0.150667,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

174人目への推薦結果
1位,ラストサムライ,1.047619,3
2位,水戸黄門 天下の副将軍,0.578571,5
3位,マトリックス・レボリューションズ,0.279365,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.270635,5
5位,天空の城ラピュタ,0.270635,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

175人目への推薦結果
1位,ラストサムライ,1.066667,4
2位,マトリックス・レボリューションズ,0.284444,5
3位,天空の城ラピュタ,0.275556,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.275556,5
5位,2001年宇宙の旅,0.275556,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

176人目への推薦結果
1位,オペラ座の怪人,0.562393,4
2位,マトリックス・レボリューションズ,0.218803,3
3位,スター・ウォーズ,0.211966,3
4位,天空の城ラピュタ,0.211966,5
5位,ピアノ・レッスン,0.121795,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

177人目への推薦結果
1位,ラストサムライ,0.960000,4
2位,リング0 バースデイ,0.365333,5
3位,禁じられた遊び,0.338667,5
4位,マトリックス・レボリューションズ,0.256000,3
5位,天空の城ラピュタ,0.248000,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

178人目への推薦結果
1位,オペラ座の怪人,0.619409,3
2位,アイ.ロボット,0.530802,3
3位,禁じられた遊び,0.297468,5
4位,水戸黄門 天下の副将軍,0.234177,5
5位,マトリックス・レボリューションズ,0.216034,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

179人目への推薦結果
1位,水戸黄門 天下の副将軍,0.689103,3
2位,アポロ13,0.317308,3
3位,禁じられた遊び,0.301282,3
4位,モスラ,0.221154,3
5位,天空の城ラピュタ,0.178846,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

180人目への推薦結果
1位,ラストサムライ,1.061224,3
2位,禁じられた遊び,0.452381,3
3位,天空の城ラピュタ,0.274150,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.274150,3
5位,スター・ウォーズ,0.274150,5
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

181人目への推薦結果
1位,アイ.ロボット,0.587500,4
2位,オペラ座の怪人,0.475000,3
3位,水戸黄門 天下の副将軍,0.391667,4
4位,ターミネーター2,0.250000,3
5位,スウィングガールズ,0.250000,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

182人目への推薦結果
1位,オペラ座の怪人,0.577346,5
2位,ピアノ・レッスン,0.122977,5
3位,戦国自衛隊,0.100971,3
4位,パラサイト・イヴ,0.093204,5
5位,スーパーの女,0.090615,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

183人目への推薦結果
1位,天空の城ラピュタ,0.280658,5
2位,プライベート・ライアン,0.153909,3
3位,禁じられた遊び,0.144856,5
4位,ピアノ・レッスン,0.132922,5
5位,時をかける少女,0.120576,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

184人目への推薦結果
1位,ラストサムライ,1.071429,4
2位,リング0 バースデイ,0.414286,3
3位,水戸黄門 天下の副将軍,0.307738,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.276786,3
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.170238,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

185人目への推薦結果
1位,オペラ座の怪人,0.557949,4
2位,禁じられた遊び,0.265128,5
3位,マトリックス・レボリューションズ,0.262564,3
4位,天空の城ラピュタ,0.254359,5
5位,水戸黄門 天下の副将軍,0.208718,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

186人目への推薦結果
1位,ラストサムライ,0.689655,3
2位,水戸黄門 天下の副将軍,0.378161,4
3位,アポロ13,0.201149,3
4位,マトリックス・レボリューションズ,0.183908,3
5位,天空の城ラピュタ,0.178161,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

187人目への推薦結果
1位,ラストサムライ,0.935065,3
2位,禁じられた遊び,0.488745,3
3位,水戸黄門 天下の副将軍,0.272294,3
4位,天空の城ラピュタ,0.241558,3
5位,A.I.,0.116883,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

188人目への推薦結果
1位,リング0 バースデイ,0.351515,3
2位,水戸黄門 天下の副将軍,0.269024,4
3位,天空の城ラピュタ,0.198316,3
4位,マトリックス,0.111785,3
5位,時をかける少女,0.078788,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

189人目への推薦結果
1位,禁じられた遊び,0.640909,4
2位,アポロ13,0.390909,5
3位,スウィングガールズ,0.272727,4
4位,メカゴジラの逆襲,0.259091,4
5位,風の谷のナウシカ,0.218182,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

190人目への推薦結果
1位,ラストサムライ,0.545455,4
2位,水戸黄門 天下の副将軍,0.498485,5
3位,スウィングガールズ,0.318182,4
4位,アポロ13,0.265152,5
5位,モスラ,0.243939,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

191人目への推薦結果
1位,アナザヘヴン,0.722727,4
2位,オペラ座の怪人,0.633333,3
3位,アイ.ロボット,0.616667,3
4位,リング0 バースデイ,0.609848,5
5位,禁じられた遊び,0.487121,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

192人目への推薦結果
1位,水戸黄門 天下の副将軍,0.361538,5
2位,スター・ウォーズ,0.211966,5
3位,天空の城ラピュタ,0.211966,5
4位,ショーシャンクの空に,0.133333,5
5位,禁じられた遊び,0.122222,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

193人目への推薦結果
1位,ラストサムライ,0.776119,3
2位,水戸黄門 天下の副将軍,0.397512,3
3位,アポロ13,0.211443,3
4位,マトリックス・レボリューションズ,0.206965,3
5位,天空の城ラピュタ,0.200498,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

194人目への推薦結果
1位,水戸黄門 天下の副将軍,0.494017,4
2位,アイ.ロボット,0.377778,4
3位,バトル・ロワイアル,0.377778,5
4位,アポロ13,0.210256,3
5位,スウィングガールズ,0.153846,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

195人目への推薦結果
1位,オペラ座の怪人,0.560606,3
2位,アイ.ロボット,0.509091,3
3位,マトリックス・レボリューションズ,0.290909,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.281818,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.281818,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

196人目への推薦結果
1位,水戸黄門 天下の副将軍,0.343902,5
2位,マトリックス・レボリューションズ,0.221138,3
3位,スター・ウォーズ,0.214228,5
4位,クレヨンしんちゃん ヘンダーランドの大冒険,0.169512,3
5位,禁じられた遊び,0.134146,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

197人目への推薦結果
1位,オペラ座の怪人,0.647059,4
2位,天空の城ラピュタ,0.283660,4
3位,天空の城ラピュタ,0.283660,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.283660,4
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.283660,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

198人目への推薦結果
1位,アナザヘヴン,0.763964,3
2位,水戸黄門 天下の副将軍,0.732432,5
3位,禁じられた遊び,0.338739,5
4位,アポロ13,0.334234,3
5位,砂の器,0.247748,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

199人目への推薦結果
1位,オペラ座の怪人,0.530864,4
2位,バトル・ロワイアル,0.411111,3
3位,天空の城ラピュタ,0.306173,3
4位,ローマの休日,0.172840,3
5位,プライベート・ライアン,0.167901,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

200人目への推薦結果
1位,禁じられた遊び,0.487831,3
2位,水戸黄門 天下の副将軍,0.274074,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.262434,5
4位,天空の城ラピュタ,0.262434,4
5位,メカゴジラの逆襲,0.140741,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

201人目への推薦結果
1位,水戸黄門 天下の副将軍,0.384795,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.352632,5
3位,プライベート・ライアン,0.294737,3
4位,アポロ13,0.204678,5
5位,日本沈没,0.180117,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

202人目への推薦結果
1位,オペラ座の怪人,0.499216,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.230980,5
3位,禁じられた遊び,0.129412,5
4位,走れメロス,0.127059,5
5位,A.I.,0.105882,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

203人目への推薦結果
1位,ラストサムライ,0.897959,3
2位,マトリックス・レボリューションズ,0.239456,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.231973,5
4位,天空の城ラピュタ,0.231973,5
5位,アポロ13,0.221088,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

204人目への推薦結果
1位,禁じられた遊び,0.368627,4
2位,水戸黄門 天下の副将軍,0.290196,5
3位,リング0 バースデイ,0.196078,3
4位,メカゴジラの逆襲,0.149020,3
5位,12モンキーズ,0.117647,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

205人目への推薦結果
1位,アイ.ロボット,0.511950,3
2位,マトリックス・レボリューションズ,0.382390,3
3位,スター・ウォーズ,0.370440,3
4位,禁じられた遊び,0.266038,5
5位,プライベート・ライアン,0.248428,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

206人目への推薦結果
1位,オペラ座の怪人,0.645833,3
2位,マトリックス・レボリューションズ,0.266667,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
4位,スター・ウォーズ,0.258333,5
5位,ローマの休日,0.175000,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

207人目への推薦結果
1位,水戸黄門 天下の副将軍,0.326389,3
2位,ローマの休日,0.233333,5
3位,スウィングガールズ,0.208333,5
4位,ショーシャンクの空に,0.200000,3
5位,禁じられた遊び,0.183333,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

208人目への推薦結果
1位,水戸黄門 天下の副将軍,0.537500,4
2位,アポロ13,0.247500,5
3位,禁じられた遊び,0.235000,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.206667,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.206667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

209人目への推薦結果
1位,禁じられた遊び,0.514815,4
2位,アポロ13,0.288889,4
3位,スウィングガールズ,0.222222,3
4位,最終兵器彼女,0.186420,4
5位,メカゴジラの逆襲,0.164198,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

210人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.722222,3
2位,天空の城ラピュタ,0.722222,4
3位,プライベート・ライアン,0.524444,5
4位,水戸黄門 天下の副将軍,0.365556,3
5位,マトリックス・レボリューションズ,0.284444,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

211人目への推薦結果
1位,2001年宇宙の旅,0.531034,4
2位,スター・ウォーズ エピソード2/クローンの攻撃,0.531034,4
3位,スター・ウォーズ,0.531034,4
4位,禁じられた遊び,0.378161,4
5位,マトリックス・レボリューションズ,0.220690,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

212人目への推薦結果
1位,禁じられた遊び,0.522222,5
2位,水戸黄門 天下の副将軍,0.411111,5
3位,メカゴジラの逆襲,0.211111,5
4位,12モンキーズ,0.166667,4
5位,最終兵器彼女,0.144444,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

213人目への推薦結果
1位,天空の城ラピュタ,0.590566,3
2位,プライベート・ライアン,0.420755,4
3位,戦国自衛隊,0.191824,3
4位,ウォーターボーイズ,0.179874,4
5位,アポロ13,0.172956,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

214人目への推薦結果
1位,禁じられた遊び,0.532292,5
2位,アポロ13,0.320833,5
3位,モスラ,0.191667,4
4位,最終兵器彼女,0.184375,5
5位,日本沈没,0.183333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

215人目への推薦結果
1位,オペラ座の怪人,0.481609,3
2位,バトル・ロワイアル,0.382759,4
3位,禁じられた遊び,0.297126,4
4位,天空の城ラピュタ,0.249425,4
5位,プライベート・ライアン,0.187356,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

216人目への推薦結果
1位,アポロ13,0.185185,3
2位,禁じられた遊び,0.146667,3
3位,ピアノ・レッスン,0.133704,3
4位,走れメロス,0.105556,3
5位,スーパーの女,0.098519,4
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

217人目への推薦結果
1位,禁じられた遊び,0.460784,3
2位,アポロ13,0.264706,5
3位,メカゴジラの逆襲,0.186275,3
4位,12モンキーズ,0.166667,5
5位,風の谷のナウシカ,0.150980,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

218人目への推薦結果
1位,禁じられた遊び,0.348148,5
2位,アポロ13,0.292593,5
3位,天空の城ラピュタ,0.206667,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.206667,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.206667,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

219人目への推薦結果
1位,禁じられた遊び,0.520155,5
2位,日本沈没,0.204651,3
3位,最終兵器彼女,0.192248,5
4位,メカゴジラの逆襲,0.162016,5
5位,ローマの休日,0.151938,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

220人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,1.315385,5
2位,プライベート・ライアン,0.626923,5
3位,戦国自衛隊,0.280769,5
4位,ウォーターボーイズ,0.253846,5
5位,パラサイト・イヴ,0.238462,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

221人目への推薦結果
1位,禁じられた遊び,0.504348,4
2位,水戸黄門 天下の副将軍,0.321739,3
3位,最終兵器彼女,0.178261,5
4位,メカゴジラの逆襲,0.165217,5
5位,12モンキーズ,0.130435,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

222人目への推薦結果
1位,禁じられた遊び,0.313333,4
2位,アポロ13,0.236250,5
3位,日本沈没,0.137500,4
4位,パラサイト・イヴ,0.115000,5
5位,オペラ座の怪人,0.105417,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

223人目への推薦結果
1位,禁じられた遊び,0.446154,5
2位,水戸黄門 天下の副将軍,0.284615,5
3位,天空の城ラピュタ,0.176923,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.176923,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.176923,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

224人目への推薦結果
1位,禁じられた遊び,0.292090,3
2位,天空の城ラピュタ,0.262712,3
3位,天空の城ラピュタ,0.262712,3
4位,鉄道員,0.157062,3
5位,ピアノ・レッスン,0.157062,4
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

225人目への推薦結果
1位,禁じられた遊び,0.291473,3
2位,アポロ13,0.258527,3
3位,マトリックス・レボリューションズ,0.210853,3
4位,天空の城ラピュタ,0.204264,3
5位,日本沈没,0.162016,4
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

226人目への推薦結果
1位,禁じられた遊び,0.356061,5
2位,水戸黄門 天下の副将軍,0.280303,3
3位,ラストサムライ,0.206061,5
4位,リング0 バースデイ,0.189394,4
5位,プライベート・ライアン,0.145455,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

227人目への推薦結果
1位,天空の城ラピュタ,0.663636,5
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.663636,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.663636,5
4位,ラストサムライ,0.545455,4
5位,禁じられた遊び,0.284848,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

228人目への推薦結果
1位,水戸黄門 天下の副将軍,0.525287,3
2位,禁じられた遊び,0.324138,5
3位,アポロ13,0.226437,5
4位,リング0 バースデイ,0.172414,3
5位,モスラ,0.132184,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

229人目への推薦結果
1位,禁じられた遊び,0.431624,4
2位,オペラ座の怪人,0.324786,4
3位,バトル・ロワイアル,0.316239,3
4位,水戸黄門 天下の副将軍,0.221368,5
5位,ローマの休日,0.191453,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

230人目への推薦結果
1位,禁じられた遊び,0.466667,4
2位,日本沈没,0.202837,4
3位,プライベート・ライアン,0.163830,4
4位,ウォーターボーイズ,0.158865,4
5位,天空の城ラピュタ,0.153901,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

231人目への推薦結果
1位,ラストサムライ,0.750000,3
2位,アポロ13,0.347917,5
3位,禁じられた遊び,0.342708,5
4位,日本沈没,0.229167,5
5位,マトリックス・レボリューションズ,0.200000,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

232人目への推薦結果
1位,オペラ座の怪人,0.557143,5
2位,バトル・ロワイアル,0.519048,5
3位,バトル・ロワイアル,0.519048,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.295238,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.295238,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

233人目への推薦結果
1位,禁じられた遊び,0.351701,3
2位,アポロ13,0.225850,5
3位,天空の城ラピュタ,0.210884,4
4位,スター・ウォーズ エピソード2/クローンの攻撃,0.210884,4
5位,スター・ウォーズ,0.210884,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

234人目への推薦結果
1位,禁じられた遊び,0.513889,4
2位,オペラ座の怪人,0.281481,5
3位,バトル・ロワイアル,0.274074,5
4位,最終兵器彼女,0.191667,5
5位,ピアノ・レッスン,0.137037,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

235人目への推薦結果
1位,水戸黄門 天下の副将軍,0.287755,3
2位,2001年宇宙の旅,0.231973,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.231973,5
4位,スター・ウォーズ,0.231973,5
5位,ウォーターボーイズ,0.164626,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

236人目への推薦結果
1位,禁じられた遊び,0.627083,5
2位,水戸黄門 天下の副将軍,0.385417,3
3位,最終兵器彼女,0.229167,5
4位,メカゴジラの逆襲,0.197917,5
5位,ローマの休日,0.175000,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

237人目への推薦結果
1位,ラストサムライ,0.490090,5
2位,天空の城ラピュタ,0.241441,5
3位,天空の城ラピュタ,0.241441,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.241441,5
5位,スター・ウォーズ,0.241441,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

238人目への推薦結果
1位,禁じられた遊び,0.389947,4
2位,スター・ウォーズ エピソード3/シスの復讐,0.278836,5
3位,水戸黄門 天下の副将軍,0.215344,3
4位,プライベート・ライアン,0.199471,3
5位,ローマの休日,0.148148,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

239人目への推薦結果
1位,禁じられた遊び,0.469106,4
2位,マトリックス・レボリューションズ,0.286179,3
3位,天空の城ラピュタ,0.277236,4
4位,スター・ウォーズ,0.277236,5
5位,2001年宇宙の旅,0.277236,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

240人目への推薦結果
1位,オペラ座の怪人,0.394203,3
2位,アイ.ロボット,0.373913,4
3位,ジョーズ2,0.191304,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.179710,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.179710,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

241人目への推薦結果
1位,禁じられた遊び,0.327907,3
2位,アポロ13,0.296899,5
3位,マトリックス・レボリューションズ,0.198450,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.192248,5
5位,2001年宇宙の旅,0.192248,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

242人目への推薦結果
1位,天空の城ラピュタ,0.614729,5
2位,マトリックス・レボリューションズ,0.248062,3
3位,ウォーターボーイズ,0.170543,5
4位,プライベート・ライアン,0.131783,5
5位,ローマの休日,0.108527,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

243人目への推薦結果
1位,オペラ座の怪人,0.569841,5
2位,バトル・ロワイアル,0.526984,5
3位,天空の城ラピュタ,0.246032,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.246032,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.246032,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

244人目への推薦結果
1位,ラストサムライ,0.941176,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.649020,3
3位,2001年宇宙の旅,0.649020,5
4位,水戸黄門 天下の副将軍,0.322549,4
5位,ウォーターボーイズ,0.172549,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

245人目への推薦結果
1位,天空の城ラピュタ,0.288372,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.288372,4
3位,スター・ウォーズ,0.288372,5
4位,アポロ13,0.174419,5
5位,モスラ,0.160465,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

246人目への推薦結果
1位,リング0 バースデイ,0.453704,3
2位,禁じられた遊び,0.450000,3
3位,マトリックス・レボリューションズ,0.207407,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.200926,5
5位,2001年宇宙の旅,0.200926,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

247人目への推薦結果
1位,禁じられた遊び,0.631818,4
2位,アポロ13,0.316667,5
3位,最終兵器彼女,0.228788,4
4位,スウィングガールズ,0.227273,4
5位,メカゴジラの逆襲,0.201515,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

248人目への推薦結果
1位,ラストサムライ,1.000000,4
2位,天空の城ラピュタ,0.641667,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.641667,4
4位,2001年宇宙の旅,0.641667,5
5位,禁じられた遊び,0.326389,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

249人目への推薦結果
1位,アポロ13,0.274691,5
2位,天空の城ラピュタ,0.229630,3
3位,日本沈没,0.176543,3
4位,プライベート・ライアン,0.175309,3
5位,リング0 バースデイ,0.154321,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

250人目への推薦結果
1位,オペラ座の怪人,0.592683,3
2位,禁じられた遊び,0.286585,3
3位,ピアノ・レッスン,0.172358,4
4位,走れメロス,0.151220,4
5位,戦国自衛隊,0.116260,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

251人目への推薦結果
1位,ラストサムライ,0.526316,3
2位,アポロ13,0.215789,5
3位,リング0 バースデイ,0.175439,3
4位,スウィングガールズ,0.157895,5
5位,マトリックス・レボリューションズ,0.140351,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

252人目への推薦結果
1位,リング0 バースデイ,0.359048,5
2位,スター・ウォーズ,0.250952,5
3位,天空の城ラピュタ,0.250952,5
4位,アポロ13,0.178571,5
5位,ローマの休日,0.173333,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

253人目への推薦結果
1位,アナザヘヴン,0.859459,3
2位,禁じられた遊び,0.500000,4
3位,アポロ13,0.345045,4
4位,モスラ,0.227928,4
5位,日本沈没,0.218018,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

254人目への推薦結果
1位,マトリックス・レボリューションズ,0.177778,5
2位,天空の城ラピュタ,0.172222,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.172222,5
4位,2001年宇宙の旅,0.172222,5
5位,最終兵器彼女,0.162698,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

255人目への推薦結果
1位,水戸黄門 天下の副将軍,0.574638,3
2位,禁じられた遊び,0.340580,3
3位,スター・ウォーズ,0.314493,3
4位,天空の城ラピュタ,0.314493,4
5位,プライベート・ライアン,0.230435,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

256人目への推薦結果
1位,水戸黄門 天下の副将軍,0.371053,4
2位,スウィングガールズ,0.236842,5
3位,アポロ13,0.197368,5
4位,日本沈没,0.173684,5
5位,ローマの休日,0.171930,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

257人目への推薦結果
1位,天空の城ラピュタ,0.613725,4
2位,プライベート・ライアン,0.437255,4
3位,マトリックス・レボリューションズ,0.271895,4
4位,パラサイト・イヴ,0.193464,5
5位,ジョーズ2,0.129412,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

258人目への推薦結果
1位,ラストサムライ,0.680851,3
2位,禁じられた遊び,0.300000,5
3位,アポロ13,0.253901,5
4位,マトリックス・レボリューションズ,0.181560,5
5位,天空の城ラピュタ,0.175887,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

259人目への推薦結果
1位,水戸黄門 天下の副将軍,0.278995,3
2位,マトリックス・レボリューションズ,0.248402,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.240639,5
4位,天空の城ラピュタ,0.240639,5
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.163470,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

260人目への推薦結果
1位,ラストサムライ,0.774194,4
2位,天空の城ラピュタ,0.570968,5
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.570968,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.570968,5
5位,禁じられた遊び,0.454839,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

261人目への推薦結果
1位,リング0 バースデイ,0.337566,4
